name,lat,lon,address,postcode,risk
COSTCO,43.622706,-79.507392,50 QUEEN ELIZABETH BLVD,M8Z 1M1,1
COSTCO WHOLESALE,43.731052,-79.455814,100 BILLY BISHOP WAY,M3K 2C8,1
Chef's Depot,43.82409,-79.248814,2900 MARKHAM RD,M1X 1E6,1
Colangelo Brothers Supermarket,43.781407,-79.27597,2387 MIDLAND AVE,M1S 1R1,1
Coppa's,43.771538,-79.16577,148 BENNETT RD,M1E 3Y3,1
DACON INTERNATIONAL GOURMET,43.759294,-79.29138,1530 BIRCHMOUNT RD,M1P 2G9,0
DANFORTH FOOD MARKET,43.795804,-79.326132,3051 PHARMACY AVE,M1W 2H1,2
DANFORTH MARKET,43.689437,-79.297712,2742 DANFORTH AVE,M4C 1L7,1
DAVE'S NO FRILLS,43.758549,-79.230292,3401 LAWRENCE AVE E,M1H 1B2,0
DIANA MEAT & GROCERY,43.676565,-79.448328,1299 ST CLAIR AVE W,M6E 1C2,1
DICKIE'S NO FRILLS,43.725527,-79.299486,1880 EGLINTON AVE E,M1L 2L1,0
DINO'S NO FRILLS,43.73077,-79.418475,1811 AVENUE RD,M5M 3Z3,0
DISTILLERY MARKET,43.65035,-79.36152,41 MILL ST,M5A 3R6,0
DO REGO SUPERMARKET,43.65958,-79.43682,1162 BLOOR ST W,M6H 1N1,0
DRAGON SUPERMARKET,43.682124,-79.32845,1365 DANFORTH AVE,M4J 1N1,1
DUNDAS STREET SUPERMARKET,43.651283,-79.411446,878 DUNDAS ST W,M6J 1V7,1
EDDYSTONE MEATS,43.747665,-79.521333,245 EDDYSTONE AVE,M3N 1H8,1
EMART,43.663784,-79.417404,698 BLOOR ST W,M6G 1L4,2
ERAA SUPERMARKET,43.735197,-79.252732,2607 EGLINTON AVE E,M1K 2S2,1
ETOBICOKE DANFORTH FOOD MARKET,43.751629,-79.599165,2200 MARTIN GROVE RD,M9V 5H9,1
EVERGREEN NATURAL FOODS,43.682816,-79.418731,513 ST CLAIR AVE W,M6C 1A1,1
Emiliano & Ana's No Frills,43.696306,-79.545273,245 DIXON RD,M9P 2M4,0
Eraa Supermarket,43.817727,-79.223039,5930 FINCH AVE E,M1B 5P8,1
FARM FRESH SUPERMARKET,43.788983,-79.266856,4466 SHEPPARD AVE E,M1S 1V2,2
FIESTA FARMS SUPERMARKET,43.66833,-79.42061,200 CHRISTIE ST,M6G 3B6,1
FINE FOOD MARKET,43.658858,-79.384742,711 BAY ST,M5G 2J8,1
FINE FOOD ON BAY,43.656916,-79.383842,637 BAY ST,M5G 1M7,0
FOOD BASICS,43.690552,-79.349563,1070 PAPE AVE,M4K 3W5,0
FOOD BASICS,43.66792,-79.371185,238 WELLESLEY ST E,M4X 1G2,0
FOOD BASICS,43.629764,-79.550278,5559 DUNDAS ST W,M9B 1B9,1
FOOD BASICS,43.79262,-79.240881,5085 SHEPPARD AVE E,M1S 4N8,0
FOOD BASICS,43.721685,-79.510591,2200 JANE ST,M3M 1A4,0
FOOD BASICS,43.774903,-79.326165,2452 SHEPPARD AVE E,M2J 1X1,0
FOOD BASICS,43.669427,-79.339297,1000 GERRARD ST E,M4M 3G6,0
FOOD BASICS,43.760547,-79.325212,1277 YORK MILLS RD,M3A 1Z5,1
FOOD BASICS,43.73536,-79.55934,900 ALBION RD,M9V 1A5,0
FOOD BASICS,43.705547,-79.346259,45 OVERLEA BLVD,M4H 1C3,1
FOOD BASICS,43.69375,-79.557163,1735 KIPLING AVE,M9R 2Y8,1
FOOD BASICS,43.770122,-79.184901,255 MORNINGSIDE AVE,M1E 3E6,1
FOOD BASICS,43.786851,-79.416881,5915 YONGE ST,M2M 3T9,1
FOOD BASICS,43.746127,-79.288307,2131 LAWRENCE AVE E,M1R 5G4,0
FOOD BASICS,43.783271,-79.203202,2900 ELLESMERE RD,M1E 4B8,0
FOOD BASICS #631,43.67619,-79.49544,853 JANE ST,M6N 4C4,0
FOOD DEPOT SUPERMARKET,43.77856,-79.308556,3331 SHEPPARD AVE E,M1T 3K2,1
FOOD FOR LIFE,43.651688,-79.474709,2184E BLOOR ST W,M6S 1N3,0
FOOD LAND,43.662951,-79.531748,1500 ISLINGTON AVE,M9A 3L8,1
